,count,mean,std,min,25%,50%,75%,max
trindade,150.0,150.9077724583562,55.35114280046256,39.45447015992662,126.7805158466649,160.35046716129358,186.80012491932683,260.3733615535962
trindade-300,300.0,152.60592854061494,54.3579377747845,42.13969078987546,122.74444346825332,164.2076803122154,184.4173274672624,261.6428179939338
trindade-long-trains,150.0,146.9067140794011,59.62889024192695,43.01714893841244,89.76751527181875,158.8037578952846,185.57801794454048,269.8226523013468
trindade-long-trains-300,300.0,150.29520939179417,52.24323359192832,39.10824295953496,109.92609141635728,166.42449445763,183.98871975219583,267.25174962427803
trindade-no-elevators,150.0,179.0297975474808,68.91044490416655,36.18314616573267,158.6613203067786,187.0114600526496,225.3234096785393,311.8582323453975
trindade-no-elevators-300,300.0,187.86178766611147,67.6752420896149,37.40089265435884,159.7685439983943,193.7180817953229,228.518723910779,320.377290053235
trindade-single-stairs,150.0,216.79019369507384,91.8095721544104,47.0197062645899,185.9755759723697,232.981765908874,278.2649543111617,418.1554155147418
trindade-single-stairs-300,300.0,181.24067907527825,68.40410695723385,40.83639057459264,156.6972214387199,189.19127488970625,224.79696277854487,316.42036985765696
trindade-escalators,150.0,158.3604996297563,60.675298895431546,43.149899073790905,129.36297716651583,173.32521271675563,193.04057380357884,264.9485124246709
trindade-escalators-300,300.0,154.2991028703181,57.43619033476555,41.47128656822884,126.22648839927166,170.8384255326813,190.37723179578936,273.5203263252504
